region,year,crop,yield_mt_ha,area_harvested_ha
Northern,2020,maize,1.9907260126227708,31256
Northern,2020,rice,2.4976268652786757,15223
Northern,2020,soya,1.453534622937211,31986
Northern,2021,maize,1.7631633217106477,8307
Northern,2021,rice,2.0965008192567414,5518
Northern,2021,soya,1.334238696121945,31515
Northern,2022,maize,2.267999185328175,1937
Northern,2022,rice,2.395485145419491,47157
Northern,2022,soya,0.9543807799141749,12688
Upper East,2020,maize,1.9840709703085877,43155
Upper East,2020,rice,2.355155320131492,38118
Upper East,2020,soya,1.312909496340671,18677
Upper East,2021,maize,1.6879197203769067,25124
Upper East,2021,rice,2.9024672882548916,30267
Upper East,2021,soya,0.9322713353767356,27058
Upper East,2022,maize,1.9932945472641892,3433
Upper East,2022,rice,2.832720216081358,37570
Upper East,2022,soya,1.4343402421862765,10370
Upper West,2020,maize,2.143554348719213,15159
Upper West,2020,rice,2.751560397222199,19845
Upper West,2020,soya,0.7133265155788842,34330
Upper West,2021,maize,2.2858689212084573,9609
Upper West,2021,rice,3.0414861369798567,2701
Upper West,2021,soya,1.334702557301607,11188
Upper West,2022,maize,1.7304331293778552,42784
Upper West,2022,rice,1.823530821292067,27326
Upper West,2022,soya,0.8051530373780169,13884
Brong Ahafo,2020,maize,1.1648695101871342,34588
Brong Ahafo,2020,rice,2.970814865274394,38660
Brong Ahafo,2020,soya,1.1081527628694652,19636
Brong Ahafo,2021,maize,1.8339473191859132,29357
Brong Ahafo,2021,rice,2.4548509873896074,16762
Brong Ahafo,2021,soya,0.6996459143207938,10185
Brong Ahafo,2022,maize,1.9757362240943348,39614
Brong Ahafo,2022,rice,2.577086077225913,15425
Brong Ahafo,2022,soya,0.6224046087915504,36159
Ashanti,2020,maize,1.985124143884489,13577
Ashanti,2020,rice,2.9052150462235207,36515
Ashanti,2020,soya,1.1401509232474007,31605
Ashanti,2021,maize,1.613038409827374,23932
Ashanti,2021,rice,2.875691843383724,5977
Ashanti,2021,soya,0.9743862747542611,10403
Ashanti,2022,maize,1.8377087749057999,13350
Ashanti,2022,rice,2.773182056647658,31925
Ashanti,2022,soya,1.07035379474329,20787
Eastern,2020,maize,2.4097796565146403,27710
Eastern,2020,rice,2.433860606144362,7562
Eastern,2020,soya,1.2895303331628953,25365
Eastern,2021,maize,1.6303167102509613,40284
Eastern,2021,rice,2.3669708557613935,10884
Eastern,2021,soya,1.2023628434156868,38879
Eastern,2022,maize,1.9854413452254764,25618
Eastern,2022,rice,2.287754901688558,13036
Eastern,2022,soya,1.4005937350704425,42093
Volta,2020,maize,1.4092391823225494,22173
Volta,2020,rice,2.5866039749825487,5143
Volta,2020,soya,0.8379524507345834,40190
Volta,2021,maize,1.936074865061257,33926
Volta,2021,rice,2.7495287748344293,25514
Volta,2021,soya,1.0982166474959327,5905
Volta,2022,maize,1.5063630396182561,10523
Volta,2022,rice,2.3312605976590026,12473
Volta,2022,soya,1.07654467799082,33692
Greater Accra,2020,maize,1.9663516722307626,9491
Greater Accra,2020,rice,2.332562862811455,9527
Greater Accra,2020,soya,1.0514462467479764,47246
Greater Accra,2021,maize,2.0846446820197286,10395
Greater Accra,2021,rice,2.408170453202337,4663
Greater Accra,2021,soya,1.3299937005191285,6896
Greater Accra,2022,maize,1.9368897086573569,20664
Greater Accra,2022,rice,2.6533667184535,9789
Greater Accra,2022,soya,1.4954856086144275,2129
Central,2020,maize,1.6564429728346803,18359
Central,2020,rice,2.0790370140533807,43475
Central,2020,soya,1.18002618643354,27624
Central,2021,maize,2.1921451605238187,15263
Central,2021,rice,2.8208512985846,25282
Central,2021,soya,1.2810696009301148,15030
Central,2022,maize,1.2446636943388383,21420
Central,2022,rice,2.819305726311601,32395
Central,2022,soya,1.0499253524562626,2912
Western,2020,maize,1.9886081224940086,37564
Western,2020,rice,2.705623599251431,17757
Western,2020,soya,1.3333353211943546,25639
Western,2021,maize,1.7040257315587783,16139
Western,2021,rice,2.9557286430537895,1350
Western,2021,soya,1.4524073134522513,14359
Western,2022,maize,1.6560659742844546,4580
Western,2022,rice,2.527048040508532,31346
Western,2022,soya,0.8838100987801489,49330
